Date,INFY,MARUTI,RELIANCE,SUNPHARMA,TCS,BPCL
20-03-2013,358.206238,1342.599976,407.487427,419.125,778.825012,126.766663
21-03-2013,359.100006,1306.949951,402.484833,415.649994,779.974976,122.949997
22-03-2013,357.899994,1305.550049,401.494232,410.25,771.075012,122.016663
25-03-2013,356.59375,1285.199951,400.825562,410.225006,771.674988,124.050003
26-03-2013,356.818756,1293.25,387.997162,411.850006,778.174988,124.900002
28-03-2013,361.168762,1281.199951,382.821228,409.475006,787.875,125.900002
01-04-2013,368.024994,1283.800049,385.718781,406.325012,778.424988,125.666664
02-04-2013,371.131256,1307.800049,393.222656,425.649994,783.674988,125.900002
03-04-2013,371.056244,1303.5,384.629089,432.149994,771.700012,125
04-04-2013,360.006256,1311.099976,380.171356,429.975006,753.900024,123.183334
05-04-2013,358.231262,1406.300049,386.387421,429.674988,749.174988,125.5
08-04-2013,353.987488,1420.150024,390.993774,432.725006,740.375,126.816666
09-04-2013,345.793762,1407.400024,384.827209,433.899994,748.700012,124.150002
10-04-2013,351.956238,1412.599976,386.04071,428.725006,765.224976,123.166664
11-04-2013,364.587494,1428.050049,381.929688,436.174988,768.450012,122.099998
12-04-2013,287.081238,1408.449951,384.034729,434.875,755.875,124.783333
15-04-2013,292.381256,1422.900024,393.074066,436.5,736.224976,131.600006
16-04-2013,287.03125,1482.050049,398.69577,444.700012,741.575012,135.516663
17-04-2013,285.481262,1494.5,383.217468,457.125,728.325012,133.78334
18-04-2013,286.962494,1524.599976,387.130402,458.125,726.375,135.116669
22-04-2013,280.568756,1540.449951,391.167114,463.524994,712.650024,138.233337
23-04-2013,282.78125,1536.349976,398.07663,474.975006,715.275024,137.75
25-04-2013,278.462494,1590.949951,405.976746,489.799988,701.150024,138.916672
26-04-2013,276.5,1673.150024,392.479675,478.049988,684.674988,137.683334
29-04-2013,278.662506,1683.5,392.603516,470.25,685.375,138.100006
30-04-2013,279.431244,1669.599976,390.399414,475.524994,689.200012,138.083328
02-05-2013,285.837494,1679.800049,397.680389,483.524994,716.950012,138.949997
03-05-2013,288.493744,1665.400024,396.491669,492.350006,709.25,134.433334
06-05-2013,292.637512,1692.400024,406.942596,491.075012,733.599976,136.149994
07-05-2013,293.600006,1692.800049,410.186829,495.475006,735.799988,135.566666
08-05-2013,293.831238,1680.849976,410.92981,492.774994,740.049988,136.449997
09-05-2013,295.174988,1660.150024,405.209015,474.125,749.224976,136.600006
10-05-2013,296.443756,1727.949951,402.658203,467.524994,747.950012,138.350006
13-05-2013,292.450012,1705,397.729919,471.950012,725.799988,136.53334
14-05-2013,293.756256,1703.900024,395.327698,481.850006,728.974976,136.583328
15-05-2013,295.056244,1739.050049,405.654785,487.024994,735.775024,138.633331
16-05-2013,291.575012,1728.199951,416.378143,484.424988,727.025024,140.633331
17-05-2013,293.96875,1708.699951,413.827332,483.075012,736.900024,139.416672
20-05-2013,296.506256,1742.25,411.67276,482.975006,736.200012,136.583328
21-05-2013,299.700012,1697.400024,410.409729,486.975006,746.424988,134.116669
22-05-2013,298.162506,1687.599976,405.530975,500.950012,749.200012,129.883331
23-05-2013,294.981262,1647.5,388.542023,503,746.349976,126.633331
24-05-2013,293.487488,1674.900024,389.532623,484.424988,734.775024,127.48333
27-05-2013,296.587494,1648.75,410.261139,506.850006,749,125.816666
28-05-2013,295.774994,1655.099976,417.740234,498.125,757.049988,126.866669
29-05-2013,294.049988,1634.150024,419.969116,532.875,748.674988,126.25
30-05-2013,292.681244,1637.5,414.471222,537.099976,749.700012,127.900002
31-05-2013,301.462494,1605.599976,399.36441,522.049988,749.224976,125.616669
03-06-2013,314.262512,1568.550049,390.250824,508.825012,734.700012,122.616669
